Platform,Total Time Spent,Number of Sessions,Engagement,Scroll Rate,Self Control,Addiction Level
Twitter,258.11,92.39,4.56,7.87,4.79,7.06
Instagram,191.94,67.29,10.0,9.27,4.57,8.05
Instagram,115.42,56.21,6.0,8.62,6.94,4.88
Facebook,193.0,67.51,7.56,3.82,5.84,4.85
Twitter,184.43,76.31,4.42,5.49,5.44,5.02
Twitter,91.64,67.91,4.44,5.31,2.46,4.37
Facebook,104.42,35.89,8.16,6.98,4.24,5.94
YouTube,220.26,97.94,3.3,7.37,6.8,5.31
Instagram,461.48,105.5,5.17,4.32,5.08,8.43
Snapchat,158.32,93.03,6.07,6.14,6.32,4.48
Instagram,40.91,57.25,6.22,1.96,8.53,1.23
Instagram,66.53,75.97,5.64,8.88,7.08,3.32
YouTube,275.86,79.87,6.79,4.98,5.19,6.6
Instagram,50.0,91.98,7.39,6.11,3.98,3.54
Facebook,306.58,93.37,7.47,5.38,1.0,8.34
Facebook,265.49,65.32,4.03,8.29,4.66,8.29
Twitter,154.19,81.64,5.43,1.0,4.35,3.53
Snapchat,92.35,89.15,8.39,5.97,5.78,3.81
Instagram,137.42,109.12,7.79,5.79,4.69,4.6
Instagram,216.37,94.09,3.25,5.09,4.36,5.36
YouTube,51.68,95.78,6.7,9.45,1.44,4.86
Facebook,431.17,81.68,2.04,4.23,3.12,8.78
Snapchat,214.94,108.21,6.09,7.54,5.95,5.78
Twitter,232.86,88.2,9.8,6.71,8.43,5.89
Facebook,264.17,62.78,4.1,8.52,4.8,8.49
Twitter,403.88,108.07,4.33,4.67,5.66,7.49
YouTube,193.35,93.96,7.53,4.53,6.9,4.48
YouTube,275.98,71.14,2.91,8.19,3.38,8.4
Instagram,93.71,70.41,4.73,6.85,5.73,3.78
Snapchat,524.04,85.93,7.19,2.91,3.52,9.38
Twitter,183.76,89.26,4.73,4.92,6.73,4.3
Facebook,93.3,83.95,5.53,6.77,5.3,3.84
YouTube,115.45,86.23,7.49,7.68,5.6,4.65
Instagram,22.39,114.0,6.84,4.64,3.43,2.92
Instagram,114.83,101.43,6.53,1.0,6.41,2.47
Twitter,8.73,83.81,5.32,7.05,9.17,1.16
YouTube,290.09,98.83,6.74,3.56,2.98,6.53
Snapchat,227.85,59.35,5.75,1.97,4.32,4.96
YouTube,70.4,87.96,6.92,1.0,5.46,2.28
Twitter,160.58,116.19,5.01,7.63,6.57,4.45
Twitter,166.2,75.64,5.63,6.26,3.88,5.58
YouTube,57.39,63.05,4.02,5.55,1.0,4.23
Twitter,139.74,66.96,5.93,8.78,7.72,4.95
YouTube,170.16,58.21,4.38,7.27,6.52,5.51
Facebook,136.75,64.3,3.77,9.23,1.51,6.57
YouTube,93.22,72.59,6.52,3.21,3.78,3.63
YouTube,67.92,51.89,6.43,5.93,8.14,2.78
Twitter,132.95,80.31,7.57,2.77,7.9,2.84
Twitter,103.27,98.05,5.14,5.54,6.88,3.12
Instagram,252.05,61.84,6.82,5.5,4.65,7.12
Instagram,420.46,110.39,7.1,7.25,5.17,9.45
Facebook,316.8,90.22,6.89,6.09,4.74,7.72
Instagram,174.48,100.61,4.35,7.25,7.26,4.45
YouTube,96.32,66.84,6.3,7.41,3.25,4.99
Twitter,311.01,97.09,6.73,10.0,3.39,9.64
Instagram,262.85,58.16,6.01,5.37,7.02,6.59
Instagram,401.15,97.8,1.83,4.12,4.91,7.38
Facebook,193.5,83.44,6.32,6.49,7.76,4.93
Facebook,506.24,91.07,10.0,4.4,3.66,10.0
YouTube,193.54,56.49,5.28,8.96,4.89,7.49
Twitter,95.92,62.1,4.54,5.43,3.16,4.35
Facebook,111.68,91.94,6.75,4.87,5.01,3.86
Instagram,243.69,61.03,6.62,5.06,2.04,7.51
Twitter,103.03,89.26,8.39,7.44,4.02,4.93
Twitter,503.96,52.66,3.48,5.68,2.13,10.0
Instagram,229.58,96.96,7.46,4.72,6.39,5.2
Facebook,171.62,55.35,7.18,9.33,6.43,7.02
Instagram,182.65,91.05,5.72,4.29,1.54,5.71
Twitter,135.6,92.51,6.68,6.07,7.67,3.76
Snapchat,30.73,66.06,8.06,7.3,9.99,1.83
Snapchat,111.75,91.64,7.74,2.74,5.09,3.35
YouTube,463.64,85.21,3.71,6.96,3.72,10.0
Instagram,197.35,69.22,7.64,3.89,10.0,3.68
Instagram,341.69,59.83,5.87,7.65,2.36,10.0
YouTube,348.31,40.75,6.15,4.07,5.04,8.95
YouTube,161.74,86.99,6.15,7.39,5.36,5.29
YouTube,265.86,48.7,5.7,8.21,7.69,8.77
Twitter,34.75,81.91,8.38,7.72,5.72,3.25
Instagram,439.19,74.73,5.83,6.5,4.0,10.0
Twitter,415.87,93.58,3.76,5.54,3.1,9.11
YouTube,238.93,73.96,5.21,4.85,4.32,6.17
Instagram,202.64,73.41,6.36,8.94,2.99,7.74
Twitter,163.39,94.64,8.46,4.6,5.1,4.68
Twitter,368.54,86.7,7.21,3.93,3.87,7.76
YouTube,287.46,86.32,4.3,7.33,2.01,8.34
Instagram,124.12,89.39,10.0,4.41,7.51,3.48
YouTube,59.88,49.29,6.53,4.1,4.0,3.43
Instagram,49.17,95.14,8.55,3.11,2.46,3.45
Snapchat,365.93,92.25,5.7,5.03,4.66,7.83
Facebook,160.68,59.67,7.07,5.83,5.14,5.46
Facebook,236.15,75.12,7.68,6.49,1.51,7.94
Facebook,176.78,79.21,8.44,7.9,5.66,6.17
YouTube,49.84,77.31,8.11,7.05,2.91,4.23
Snapchat,35.66,86.68,7.74,5.62,8.42,1.93
Instagram,117.28,108.63,5.37,5.6,6.05,3.57
Twitter,125.59,101.64,4.86,7.02,4.2,4.55
Instagram,125.52,53.76,6.67,8.55,3.51,6.34
Twitter,128.5,92.44,7.87,6.25,4.79,4.7
Instagram,604.23,106.58,5.55,5.06,6.23,10.0
Snapchat,338.2,87.74,8.13,4.01,4.95,7.1
Twitter,199.43,101.82,8.91,3.11,4.57,4.79
YouTube,157.59,120.25,4.17,7.33,5.12,4.61
Instagram,161.91,100.47,4.33,7.16,3.79,5.25
Instagram,280.27,84.99,5.72,7.15,4.31,7.69
Twitter,156.46,100.9,6.62,5.74,1.0,5.91
YouTube,315.16,82.9,4.95,8.81,6.95,8.29
YouTube,215.52,80.48,8.7,5.03,5.6,5.7
Snapchat,607.78,72.97,6.85,7.91,3.45,10.0
YouTube,149.29,111.27,6.08,5.92,8.8,3.37
YouTube,354.57,63.63,3.13,4.78,5.17,7.96
YouTube,65.24,110.65,3.37,7.19,2.93,3.68
Facebook,98.41,90.0,6.56,6.82,6.71,3.61
Snapchat,556.0,52.01,1.73,6.71,5.8,10.0
Instagram,306.12,87.35,8.03,6.16,5.79,7.47
Twitter,239.2,38.0,5.68,5.92,4.15,8.55
Instagram,709.32,92.51,10.0,10.0,5.9,10.0
Snapchat,159.34,97.7,10.0,8.37,4.48,6.29
Twitter,354.01,68.15,5.64,7.45,6.11,9.41
Snapchat,371.68,82.47,5.79,6.22,1.19,9.88
YouTube,478.98,119.08,7.99,8.01,4.13,10.0
Twitter,58.16,69.89,9.41,7.04,8.44,2.96
YouTube,158.52,58.82,2.72,6.05,3.47,5.51
Instagram,212.81,109.63,2.43,5.39,3.79,5.3
Instagram,473.85,119.25,4.76,5.84,4.1,9.38
Twitter,232.34,80.07,7.17,1.0,2.57,4.99
Twitter,372.22,100.23,6.99,6.42,1.0,9.7
Snapchat,53.11,106.83,8.14,5.02,4.54,3.24
Snapchat,131.13,65.15,3.6,9.19,5.27,5.24
YouTube,414.82,70.29,1.37,6.04,4.89,9.41
Twitter,145.31,104.62,7.72,3.62,4.71,4.1
Instagram,168.69,113.7,4.34,5.9,5.09,4.55
Snapchat,468.89,91.26,1.96,3.91,7.05,7.74
Snapchat,79.49,62.4,6.29,6.95,4.62,4.17
Instagram,97.04,119.74,7.59,6.58,3.85,4.35
Snapchat,47.56,69.38,5.76,7.92,4.44,3.6
YouTube,481.22,73.3,5.08,4.42,6.16,9.31
Twitter,333.98,86.85,5.68,6.07,7.82,7.02
Instagram,328.26,111.08,5.26,3.27,3.74,6.47
Twitter,128.15,97.08,3.3,7.4,5.2,4.19
Snapchat,43.94,88.3,4.57,7.04,5.68,2.73
Snapchat,31.71,89.27,7.04,6.99,3.01,3.65
Instagram,416.86,80.87,6.64,6.0,5.04,9.55
YouTube,250.58,91.16,6.34,6.83,2.07,7.63
Facebook,285.1,29.41,4.01,9.21,1.46,10.0
Instagram,205.67,74.07,5.64,5.43,5.73,5.46
Facebook,87.05,84.83,1.65,6.28,4.23,3.45
Facebook,132.99,56.98,6.36,3.83,5.4,4.09
YouTube,68.85,87.73,8.86,4.26,4.96,3.29
Facebook,60.93,75.91,3.05,6.2,3.05,3.57
Facebook,315.55,115.11,4.83,8.21,4.91,7.73
YouTube,35.02,111.46,6.66,5.49,2.53,3.49
Facebook,69.28,70.68,8.51,5.53,7.78,2.84
Facebook,139.32,76.98,5.1,5.19,2.29,5.17
Facebook,180.64,78.52,4.62,4.93,4.61,5.01
Instagram,46.95,70.97,2.06,6.59,2.92,3.3
Instagram,230.24,83.9,6.21,3.01,6.14,4.66
Instagram,197.28,64.83,10.0,8.56,4.34,7.99
YouTube,412.09,57.39,6.55,4.67,3.96,9.9
Snapchat,182.96,92.45,5.96,7.44,6.71,5.18
Facebook,247.11,92.59,6.64,3.46,5.06,5.34
Facebook,91.47,63.91,5.98,7.34,6.03,4.03
YouTube,94.9,97.91,4.37,7.34,3.04,4.39
Facebook,52.14,67.37,7.65,6.77,2.19,4.42
Instagram,92.26,85.06,6.45,4.01,5.21,3.31
Snapchat,131.42,96.41,6.04,6.5,4.36,4.68
Twitter,385.22,79.33,4.05,3.63,6.25,7.04
Facebook,80.41,89.09,8.61,5.49,4.84,3.79
Instagram,625.31,69.67,7.33,8.06,5.41,10.0
Twitter,262.61,76.07,4.89,7.59,1.75,8.46
Snapchat,226.0,75.88,8.0,6.03,8.78,5.39
Twitter,172.39,65.07,5.0,4.05,4.67,4.8
Instagram,148.4,76.46,4.44,7.29,6.4,4.63
Twitter,104.56,49.03,4.48,6.04,3.33,4.88
YouTube,45.0,70.18,2.46,1.36,5.62,1.92
Twitter,82.95,74.3,6.94,7.57,2.39,5.01
Facebook,480.47,74.88,2.34,5.95,5.9,10.0
Facebook,251.44,75.17,3.54,8.4,4.29,7.64
YouTube,477.67,78.76,1.85,3.81,5.06,8.71
Instagram,102.29,89.59,5.83,1.0,6.4,2.33
Facebook,66.99,97.49,5.7,6.56,2.53,4.11
Snapchat,171.11,67.0,5.35,6.58,3.63,6.01
Facebook,85.72,55.94,3.91,2.62,5.91,2.69
Facebook,198.71,59.16,3.66,4.04,9.2,3.88
Instagram,35.69,70.26,6.93,10.0,4.72,3.83
Twitter,19.04,72.96,4.9,5.39,6.18,2.0
Facebook,219.77,64.6,6.63,7.46,4.79,7.29
YouTube,489.27,54.08,4.23,4.7,8.88,9.88
Twitter,226.83,70.88,6.36,1.82,1.51,5.63
Snapchat,249.64,83.63,8.61,5.66,5.19,6.6
Instagram,176.67,91.9,7.17,5.47,1.75,6.08
Snapchat,189.5,68.85,5.18,5.2,1.0,6.56
Twitter,42.67,71.74,6.51,5.77,5.59,2.84
Twitter,88.6,61.47,5.52,6.53,5.28,3.96
Twitter,382.59,79.37,6.02,5.7,4.43,8.93
Snapchat,129.06,63.03,5.35,3.47,4.79,3.94
Twitter,377.45,91.46,5.67,6.97,10.0,7.44
Snapchat,185.64,44.28,6.42,2.1,4.48,4.66
Twitter,192.71,72.81,4.01,1.9,6.02,3.78
YouTube,129.86,86.02,3.97,7.48,3.7,4.91
Twitter,275.82,83.68,3.22,7.01,5.59,6.85
Snapchat,323.2,133.86,2.8,5.89,4.52,6.63
Facebook,84.4,87.0,3.57,3.21,4.18,3.13
Twitter,47.11,59.92,6.32,4.58,8.64,1.82
Facebook,24.24,78.09,4.21,5.47,7.35,1.67
YouTube,241.23,44.48,7.03,2.81,5.27,5.75
Instagram,222.03,78.39,6.07,4.52,1.0,6.75
YouTube,740.13,63.34,2.06,7.3,4.28,10.0
Twitter,177.46,98.31,7.31,8.85,10.0,4.67
Facebook,154.22,69.01,7.62,5.16,4.54,5.12
Facebook,203.63,77.66,4.01,7.51,7.21,5.45
Snapchat,211.74,67.29,6.84,2.17,7.88,3.73
Facebook,145.08,114.78,4.29,7.32,5.44,4.37
Snapchat,86.9,73.58,6.2,4.39,3.32,3.94
Instagram,170.33,116.65,3.47,6.61,1.0,5.83
Twitter,165.49,96.28,2.41,5.5,6.37,3.96
Snapchat,163.46,89.64,5.23,8.64,3.37,6.1
Instagram,296.1,87.37,5.75,4.25,5.35,6.29
Facebook,168.01,87.88,5.2,7.26,2.5,6.07
Facebook,48.2,41.45,3.63,5.44,4.47,3.17
Instagram,99.71,74.42,5.2,5.68,5.07,3.83
Facebook,143.68,96.9,6.54,5.63,5.54,4.35
Instagram,174.09,79.02,5.91,4.31,2.77,5.37
Snapchat,244.83,51.9,6.37,5.97,7.39,6.81
Snapchat,175.13,78.95,4.66,5.87,3.81,5.46
Instagram,19.6,114.08,8.34,6.48,1.65,3.89
Snapchat,54.2,104.94,3.65,6.17,4.78,2.88
Snapchat,256.73,78.76,6.98,7.6,5.07,7.58
Snapchat,140.6,99.03,8.36,7.85,5.32,5.24
YouTube,186.61,72.67,6.96,3.9,7.72,4.09
Twitter,126.83,45.92,5.59,7.74,4.53,5.91
Facebook,99.36,61.51,4.94,3.63,4.76,3.51
YouTube,130.59,111.26,8.07,7.18,2.79,5.47
Snapchat,188.27,74.52,3.15,7.24,6.64,5.18
Instagram,167.06,75.13,4.06,2.18,5.37,3.72
Snapchat,321.76,74.0,5.2,6.19,4.16,8.3
Twitter,39.07,118.08,8.48,5.06,1.19,4.06
Snapchat,45.16,112.52,6.76,4.48,7.89,1.87
Instagram,139.3,124.38,4.06,8.7,2.54,5.31
Twitter,246.8,76.82,5.38,4.69,3.82,6.34
Snapchat,285.14,85.91,4.77,4.39,5.72,6.01
Twitter,102.77,49.67,4.58,6.15,2.61,5.08
Facebook,6.04,109.54,7.96,7.37,2.01,3.67
Facebook,105.63,56.64,3.26,5.72,1.0,5.19
Snapchat,222.54,84.34,9.22,8.33,6.44,7.03
Twitter,164.7,58.05,7.66,7.06,3.91,6.56
Instagram,253.2,68.22,8.18,1.64,10.0,3.41
Snapchat,373.78,63.25,5.07,4.94,3.01,9.26
Facebook,147.03,67.84,5.7,4.88,3.16,5.14
Facebook,115.74,69.22,3.13,6.96,3.87,4.6
Snapchat,76.55,69.03,4.95,1.0,5.49,2.33
Twitter,44.88,96.67,6.99,10.0,4.06,4.09
Facebook,33.09,57.9,8.59,7.06,6.22,3.08
Twitter,94.35,84.41,3.79,6.3,3.04,4.21
Facebook,340.19,104.36,5.27,8.36,2.24,9.34
Facebook,270.4,69.74,5.7,10.0,1.4,10.0
YouTube,111.28,65.64,3.21,7.74,1.0,5.62
Facebook,629.11,75.39,7.18,7.9,3.96,10.0
Instagram,100.06,103.59,4.55,6.26,4.4,3.86
Snapchat,397.53,83.88,5.61,5.72,3.74,9.2
Snapchat,460.46,69.38,5.1,5.05,7.49,9.22
Twitter,233.38,89.68,4.42,4.35,7.46,4.61
Facebook,93.59,57.95,5.99,4.63,4.33,3.94
Instagram,123.81,93.63,5.57,3.3,1.41,4.62
Twitter,191.66,88.17,5.26,5.85,3.87,5.64
YouTube,46.23,73.84,4.54,2.63,3.8,2.73
Twitter,70.07,63.23,6.64,6.38,3.69,4.15
Twitter,64.75,62.27,9.31,5.93,3.6,4.29
Facebook,245.99,90.7,6.28,6.29,3.69,6.85
YouTube,371.39,104.58,7.99,4.96,4.23,8.0
Twitter,277.78,67.25,3.22,10.0,3.73,9.43
Instagram,331.16,89.17,6.32,8.72,5.42,9.03
Instagram,86.81,38.26,3.81,3.51,5.72,3.22
Snapchat,128.38,68.31,3.05,6.47,3.18,4.94
YouTube,136.34,79.38,4.52,4.78,7.54,3.35
YouTube,232.72,61.81,8.38,3.97,3.04,6.58
Snapchat,96.63,61.27,7.9,3.32,1.76,4.49
Twitter,317.44,66.64,6.49,6.86,5.76,8.61
YouTube,452.11,85.84,2.93,4.64,3.37,9.23
Instagram,241.2,76.25,5.61,7.94,5.64,7.12
Instagram,123.85,35.24,6.6,7.99,1.0,7.8
Facebook,80.11,37.59,6.35,8.75,7.78,4.44
YouTube,64.9,67.86,2.31,4.3,6.34,2.36
Twitter,19.88,89.15,4.22,6.95,2.0,3.34
Snapchat,139.7,25.05,5.87,7.26,2.04,8.69
Snapchat,133.42,70.01,7.07,5.05,8.34,3.51
Twitter,304.26,69.48,1.61,4.46,3.53,7.08
Facebook,102.16,107.77,5.68,9.22,3.33,4.94
Snapchat,146.01,72.3,6.29,6.45,1.0,6.28
YouTube,205.87,87.66,7.7,7.27,4.3,6.6
Facebook,238.43,82.83,7.39,4.36,4.54,5.92
YouTube,280.68,37.39,7.17,3.56,6.43,7.06
Instagram,191.15,95.36,4.4,4.86,2.2,5.65
Facebook,49.05,84.31,2.18,5.75,1.96,3.49
Snapchat,223.77,90.17,5.21,3.87,5.9,4.83
Facebook,95.93,158.52,8.0,5.98,7.01,3.17
Facebook,383.09,38.32,8.79,2.62,1.86,9.36
Facebook,169.43,114.49,7.42,3.76,7.16,3.66
Facebook,199.72,74.25,6.86,7.34,5.08,6.46
YouTube,778.69,85.75,6.76,7.21,7.18,10.0
Instagram,284.07,79.09,4.89,5.22,4.86,6.77
Twitter,220.88,71.52,5.74,3.96,1.0,6.59
Facebook,149.42,68.6,9.34,3.95,4.7,4.68
Snapchat,53.31,86.59,4.11,5.25,7.12,2.15
Facebook,141.11,49.66,9.23,7.29,3.21,6.86
Snapchat,79.21,95.01,5.36,7.86,4.22,4.02
YouTube,488.56,71.68,8.65,5.01,4.65,10.0
Snapchat,222.99,57.4,3.19,3.69,1.0,6.6
